Unnamed: 0,size,center_x,center_y,min_dist
Cell_552,192.0,532.5,125.5,1962.1102160684043
Cell_553,261.0,536.5,581.0,1773.0482931945198
Cell_554,100.0,531.0,182.0,1935.6058483069326
Cell_555,196.0,537.0,291.5,1879.9849068543076
Cell_556,97.0,532.5,606.0,1768.825952432856
Cell_557,78.0,532.5,738.0,1731.9495518057101
Cell_558,135.0,535.0,148.0,1948.710855925014
Cell_559,91.0,537.0,191.5,1925.783801468898
Cell_560,123.0,536.0,634.0,1756.902103134947
Cell_561,70.0,534.5,39.0,2005.3474137914359
Cell_562,176.0,542.0,487.0,1798.463788904297
Cell_563,209.0,541.0,85.0,1975.5386607201592
Cell_564,190.0,541.0,268.0,1886.7946364138309
Cell_565,235.0,541.0,353.0,1850.2888963618627
Cell_566,213.0,543.5,113.0,1958.964075729823
Cell_567,266.0,545.5,922.5,1683.4798781096256
Cell_568,293.0,544.5,317.5,1861.9861707327475
Cell_569,373.0,547.5,441.0,1809.8796230688936
Cell_570,219.0,548.0,411.5,1820.5774496021859
Cell_571,191.0,549.0,152.0,1934.570236512492
Cell_572,214.0,548.0,242.5,1892.133782268051
Cell_573,440.0,551.5,777.5,1704.210227642118
Cell_574,200.0,546.5,550.5,1773.0900992335387
Cell_575,251.0,553.0,704.0,1720.793421651768
Cell_576,115.0,549.5,867.0,1688.2956642721085
Cell_577,239.0,555.0,341.0,1842.5289685646735
Cell_578,336.0,561.5,384.0,1818.973130642671
Cell_579,327.0,559.0,1060.5,1656.0523089564533
Cell_580,283.0,558.0,265.5,1872.7403050076111
Cell_581,430.0,560.5,731.5,1706.435612614786
Cell_582,357.0,565.5,855.0,1674.6934794164572
Cell_583,133.0,556.0,452.0,1797.916850135178
Cell_584,276.0,561.5,516.0,1770.2065557442725
Cell_585,233.0,568.0,610.0,1733.8791768747901
Cell_586,235.0,573.0,8.5,1989.7098406551645
Cell_587,206.0,568.5,19.5,1987.380814036404
Cell_588,206.0,573.0,465.5,1777.1553815015725
Cell_589,324.0,574.5,90.5,1944.1112365294327
Cell_590,137.0,569.5,476.0,1776.6235532605099
Cell_591,234.0,571.5,224.5,1879.7405406066018
Cell_592,116.0,569.0,668.0,1715.371096876708
Cell_593,185.0,573.0,49.0,1967.5164548231865
Cell_594,171.0,572.0,110.0,1936.0643067832225
Cell_595,117.0,571.0,144.0,1919.533797566482
Cell_596,322.0,572.5,363.5,1817.2590624344125
Cell_597,110.0,572.5,28.5,1979.09587943586
Cell_598,519.0,578.5,414.5,1791.2991095849961
Cell_599,126.0,572.0,591.5,1736.067467006971
Cell_600,210.0,575.0,247.0,1866.1095894936075
Cell_601,611.0,579.0,329.0,1825.8852647414624
Cell_602,74.0,571.0,755.5,1690.3583200020048
Cell_603,83.0,574.0,629.5,1722.0732417641243
Cell_604,207.0,580.0,237.0,1866.3547358420371
Cell_605,197.0,580.5,393.0,1797.9589122112886
Cell_606,177.0,581.0,614.5,1720.1230333903445
Cell_607,93.0,583.0,704.0,1691.8894762956593
Cell_608,275.0,588.5,263.0,1846.7431467315644
Cell_609,284.0,587.5,192.5,1881.1061905166332
Cell_610,344.0,586.5,29.0,1967.1243605832346
Cell_611,52.0,583.5,65.5,1949.7785771722902
Cell_612,56.0,586.0,117.5,1920.204220909849
Cell_613,174.0,589.0,541.0,1735.9449876076142
Cell_614,213.0,590.0,556.0,1730.113580086579
Cell_615,123.0,587.5,594.0,1720.6072329267943
Cell_616,325.0,594.0,240.5,1852.353165570756
Cell_617,139.0,592.5,278.5,1836.096538856277
Cell_618,342.0,598.0,876.0,1638.9694933097444
Cell_619,357.0,597.0,341.0,1804.4791492283862
Cell_620,230.0,598.5,367.0,1792.1457111518582
Cell_621,208.0,597.0,623.5,1702.0961341827906
Cell_622,131.0,596.5,167.0,1885.9237126670846
Cell_623,165.0,598.0,388.0,1783.96328437555
Cell_624,232.0,600.0,449.5,1758.0148605742786
Cell_625,301.0,599.0,831.5,1646.3107999402787
Cell_626,264.0,600.5,909.0,1631.0843785653763
Cell_627,133.0,599.0,58.0,1940.7900453165973
Cell_628,182.0,600.0,592.0,1709.334665886116
Cell_629,222.0,603.0,696.5,1674.7063175374958
